name,description,latitude,longitude,address,contact_phone,contact_email,website,star_rating,price_per_night,currency,total_rooms,available_rooms,amenities,check_in_time,check_out_time,image,is_active,created_at,updated_at
Sarova Lion Hill Game Lodge,Luxury lodge inside Lake Nakuru NP.,-0.3664,36.1044,"Lake Nakuru National Park, Off Old Nairobi Road, Nakuru County, Kenya",+254 709 111 000,centralreservations@sarovahotels.com,https://www.sarovahotels.com,5,,KES,20,2,"Wi-Fi, Standard Room Amenities",14:00,11:00,,TRUE,,
L.Nakuru Lodge,Eco-friendly lodge,-0.3907,36.0966,,,,,3,,KES,20,5,"Wi-Fi, Standard Room Amenities",14:00,11:00,,TRUE,,
The Cliff,Boutique camp on the edge of Lake Nakuru.,-0.3551,36.0692,"Lake Nakuru National Park, Nakuru County, Kenya",+254 748 813006,res@thecliffkenya.com,https://www.thecliffkenya.com,4,,KES,20,7,"Wi-Fi, Standard Room Amenities",14:00,11:00,,TRUE,,
Mbweha Camp,Rustic cottages in Congreve Conservancy.,-0.4725,36.195,"Next to KWS Pump Station, Congreve Conservancy, bordering Lake Nakuru National Park, Nakuru, Kenya",+254 704 418651,reservations@atua-enkop.com,https://www.atua-enkop.com,3,,KES,20,4,"Wi-Fi, Standard Room Amenities",14:00,11:00,,TRUE,,
Hotel Waterbuck,Business hotel in Nakuru City.,-0.2858,36.0684,"3327 West Road, Nakuru, Nakuru County, 20100, Kenya",+254 720 576611,waterbuck@waterbuck.co.ke,https://www.waterbuck.co.ke,3,,KES,20,6,"Wi-Fi, Standard Room Amenities",14:00,11:00,,TRUE,,
The Royal City Hotel,Budget-friendly hotel in Nakuru CBD.,-0.2922,36.0725,"Nakuru, Nakuru County, Kenya",+254 702 996 184,reception.annex@royalcityhotel.co.ke,https://www.royalcityhotel.co.ke,2,,KES,20,2,"Wi-Fi, Standard Room Amenities",14:00,11:00,,TRUE,,
The Panari Resort,"Luxury resort near Thompson Falls, Nyahururu.",0.0401,36.3712,"Nyeri-Nyahururu Highway, Thompson Falls, Nyahururu, 20300, Kenya",+254 709 070000,info@panariresort.com,https://www.panarihotels.com,5,,KES,20,7,"Wi-Fi, Standard Room Amenities",14:00,11:00,,TRUE,,
Lake Nakuru Sopa Lodge,Elevated lodge with views of Lake Nakuru.,-0.4497,36.1264,"Karima Kanyoka Road, inside Lake Nakuru National Park, Nakuru, Kenya",+254 20 3750235,info@sopalodges.com,https://www.sopalodges.com,4,,KES,20,10,"Wi-Fi, Standard Room Amenities",14:00,11:00,,TRUE,,
Lake Naivasha Serena Resort,Upscale resort on Lake Naivasha shores.,-0.8354,36.3534,"Moi South Lake Road, Naivasha, Nakuru County, Kenya",+254 713 600 002,info@lakenaivasharesort.co.ke,https://www.sopalodges.com,5,,KES,20,2,"Wi-Fi, Standard Room Amenities",14:00,11:00,,TRUE,,
Sopa Resort Naivasha,Lodge where wildlife roams the lawns.,-0.8197,36.4022,"Moi South Lake Road, Naivasha, Nakuru County, Kenya",+254 20 375 0235,reservations@sopalodges.co.ke,https://www.sopalodges.com,4,,KES,20,4,"Wi-Fi, Standard Room Amenities",14:00,11:00,,TRUE,,
Lake Naivasha Resort,Popular resort on Moi South Lake Road.,-0.7966,36.4258,"Moi South Lake Road, Naivasha, Nakuru County, Kenya",+254 713 600 002,info@lakenaivasharesort.co.ke,https://www.lakenaivasharesort.co.ke,4,,KES,20,5,"Wi-Fi, Standard Room Amenities",14:00,11:00,,TRUE,,
Crater Lake Camp,Tented camp near a volcanic crater lake.,-0.7854,36.2736,"Off Moi South Lake Road, near Kongoni village, Lake Naivasha, Nakuru County, Kenya",+254 722 203 804,info@craterlake.co.ke,https://www.craterlake.co.ke,3,,KES,20,6,"Wi-Fi, Standard Room Amenities",14:00,11:00,,TRUE,,
Pelican Lodge,Quiet lodge on Lake Elementaita.,-0.4468,36.2483,"Lake Elementaita, Nakuru County, Kenya",+254 754 267041,info@thepelicanlodge.com,https://www.thepelicanlodge.com,3,,KES,20,8,"Wi-Fi, Standard Room Amenities",14:00,11:00,,TRUE,,
Lake Elementaita Serena Camp,Luxury tents in Soysambu Conservancy.,-0.4355,36.2415,"Soysambu Conservancy, Lake Elmenteita, Nakuru County, Kenya",+254 709 998333,reservations@serenahotels.com,https://www.serenahotels.com,5,,KES,20,3,"Wi-Fi, Standard Room Amenities",14:00,11:00,,TRUE,,
Kigio Wildlife Camp,Eco-lodge in Gilgil/Naivasha area.,-0.5675,36.3933,"Gilgil, Nyandarua County, between Lake Nakuru and Lake Naivasha, Kenya",+254 20 3522160,res@kigio.com,https://www.kigio.com,3,,KES,20,4,"Wi-Fi, Standard Room Amenities",14:00,11:00,,TRUE,,
Oserengoni Lodge,Exclusive lodge in Oserengoni Sanctuary.,-0.8315,36.2995,"Moi South Lake Road, Naivasha, Nakuru County, 20117, Kenya",+254 707 645630,info@oserengoniwildlife.com,https://www.oserengoniwildlife.com,4,,KES,20,4,"Wi-Fi, Standard Room Amenities",14:00,11:00,,TRUE,,
Lake Oloiden Resort,Serene campsite and lodge near Naivasha.,-0.8127,36.2791,"Moi North Lake Road, Kongoni, Naivasha, Nakuru County, Kenya",+254 113 644987,reservations@oloidenflamingocamp.com,https://www.oloidenflamingocamp.com,3,,KES,20,2,"Wi-Fi, Standard Room Amenities",14:00,11:00,,TRUE,,
