name,description,category,latitude,longitude,address,opening_hours,contact_phone,contact_email,website,image,is_active,created_at,updated_at
Lake Nakuru National Park,"Famed for its flamingos, rhinos, and diverse wildlife.",National Park,-0.40325924,36.09613496,"P.O. Box 539, Nakuru, Kenya (160 km northwest of Nairobi, Rift Valley Province)",9:00 AM - 5:00 PM,+254 37 44069,customerservice@kws.go.ke,https://www.kws.go.ke,,True,,
Menengai Crater,"One of the largest volcanic craters globally, offering panoramic views.",Viewpoint,-0.223433814,36.09549526,"P38F+998, Kenyatta Ave, Nakuru, Kenya",9:00 AM - 5:00 PM,+254 722 429010,info@menengai.com,https://www.menengai.com,,True,,
Hyrax Hill Prehistoric Site,An archaeological site showcasing early human settlements.,Museum,-0.28123318,36.10473476,"About 4 km from Nakuru town, near the Nairobi–Nakuru Highway",9:00 AM - 5:00 PM,+254 20 3742741,info@museums.or.ke,https://www.museums.or.ke,,True,,
Lord Egerton Castle,A historic castle with unique architecture and history.,Museum,-0.274638726,35.97213372,"Off Nakuru-Kisumu Highway, 14 km outside Nakuru Town, near Njoro, P.O. Box 536-20107 Njoro, Naivasha, Kenya",9:00 AM - 5:00 PM,+254 50 50835,info@nakurutourism.co.ke,https://www.egerton.ac.ke,,True,,
Lake Naivasha,A freshwater lake popular for boat rides and bird watching.,Lake,-0.745886825,36.3223929,"South Lake Road, Naivasha, Nakuru County, Kenya",9:00 AM - 5:00 PM,+254 20 600800,info@nakurutourism.co.ke,https://www.kws.go.ke,,True,,
Hell's Gate National Park,Hell's Gate National Park,National Park,-0.716941784,36.43105192,"Lake Road South, Naivasha, Nakuru County, 20117, Kenya",9:00 AM - 5:00 PM,+254 50 50407,hellsgatenp@kws.go.ke,https://www.kws.go.ke,,True,,
Crescent Island Game Sanctuary,A private sanctuary offering walking safaris.,Wildlife Conservancy,-0.773989859,36.40395939,"Moi South Lake Road, Naivasha, Nakuru County, Kenya",9:00 AM - 5:00 PM,+254 759 636468,crescentisland2019@gmail.com,https://www.crescentisland.co,,True,,
Mount Longonot National Park,A dormant volcano offering hiking opportunities.,National Park,-0.9158,36.44628702,,9:00 AM - 5:00 PM,,,,,True,,
Lake Elementaita,"A UNESCO World Heritage Site, ideal for bird watching.",Lake,-0.441103369,36.24176334,"Along Nairobi-Nakuru Highway (A104), near Gilgil, Kikopey Centre, Nakuru County, Kenya",9:00 AM - 5:00 PM,+254 800 597000,customerservice@kws.go.ke,https://www.kws.go.ke,,True,,
Olkaria Geothermal Spa,Hot spa pools amidst geothermal activity.,Geothermal Site,-0.860900903,36.29482167,"Hell's Gate National Park, Moi South Lake Road, Naivasha, Nakuru County, Kenya",9:00 AM - 5:00 PM,+254 716 937185,info@nakurutourism.co.ke,https://www.kws.go.ke,,True,,
Kariandusi Prehistoric Site,An important archaeological site with ancient tools.,Prehistoric Site,-0.451510002,36.2845125,"Nakuru County, off Nairobi-Nakuru Highway, Nakuru, Kenya",9:00 AM - 5:00 PM,+254 20 374 2131,kariandusi@museums.or.ke,https://www.museums.or.ke,,True,,
Crater Lake Game Sanctuary,A scenic sanctuary with a volcanic crater lake.,Wildlife Conservancy,-0.773146847,36.25820055,"Off Moi South Lake Road, near Kongoni village, Lake Naivasha, Nakuru County, Kenya",9:00 AM - 5:00 PM,+254 722 203804,info@craterlake.co.ke,https://www.craterlake.co.ke,,True,,
Makalia Waterfalls,A picturesque waterfall within Lake Nakuru National Park.,Nature Reserve,-0.491895737,36.08090849,"Southern section of Lake Nakuru National Park, 12 km from main gate, Nakuru, Kenya",9:00 AM - 5:00 PM,+254 37 44069,customerservice@kws.go.ke,https://www.kws.go.ke,,True,,
Ol Doinyo Eburru,A volcanic mountain offering hiking trails and geothermal features.,Viewpoint,-0.647429872,36.18995087,"Eburru Forest, near Gilgil, Nakuru County, Kenya",9:00 AM - 5:00 PM,+254 800 597000,customerservice@kws.go.ke,https://www.kws.go.ke,,True,,
Lake Oloiden,A serene lake known for its hot springs and birdlife.,Lake,-0.812671847,36.2791271,"Moi South Lake Road, Naivasha, Rift Valley Province, Nakuru County, Kenya",9:00 AM - 5:00 PM,+254 708 798075,info@oloidencamp.com,https://www.oloidencamp.com,,True,,
Hippo Point Wildlife Conservancy,A conservation area ideal for wildlife viewing.,Wildlife Conservancy,-0.799490121,36.30676597,"Kongoni village, Naivasha, Nakuru County, 20117, Kenya",9:00 AM - 5:00 PM,+254 733 993713,info@nakurutourism.co.ke,https://www.hippopointkenya.com,,True,,
Elsamere Nature Reserve,"Former home of Joy Adamson, now a conservation center.",Nature Reserve,-0.820899494,36.31049039,"Moi South Lake Road, Naivasha, Kenya",9:00 AM - 5:00 PM,+254 722 648123,reservations@elsamere.com,https://www.elsaconservationtrust.org,,True,,
Kigio Wildlife Conservancy,A community-owned conservancy supporting eco-tourism.,Wildlife Conservancy,-0.567112179,36.39407167,"C9MV+28Q, Gilgil, Nakuru County, Kenya",9:00 AM - 5:00 PM,+254 729 814707,info@nakurutourism.co.ke,https://www.kigiokenya.com,,True,,
Oserengoni Wildlife Sanctuary,A private sanctuary focusing on conservation and tourism.,Wildlife Conservancy,-0.830670307,36.24700324,"Moi South Lake Road, P.O. Box 209, Naivasha, Nakuru County, 20117, Kenya",9:00 AM - 5:00 PM,+254 707 645 630,info@oserengoniwildlife.com,https://www.oserengoniwildlife.com,,True,,
Dodo's Tower,A unique structure offering panoramic views of the surrounding area.,Wildlife Conservancy,-0.804920261,36.29048252,"Lake Oloiden, Off Moi South Lake Road, Naivasha, Nakuru County, Kenya",9:00 AM - 5:00 PM,+254 733 993713,reservations@hippopointkenya.com,https://www.hippopointkenya.com,,True,,
